Manufacturer,Model,PR,Top Speed,Acceleration,Braking,Grip,Class,Type,Series,Price,Service Time,Service Cost,Is Available,Has Exclusive Events,In Main Career,In Season 1,In Season 2,In Season 3
Formula 1,Mercedes-AMG Petronas Motorsport F1 W10 EQ Power+,115.8,309,2.06,16.8,3.06,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Haas F1 Team VF-19,115.6,312,2.02,17.4,3.01,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Alfa Romeo Racing C38,115.6,312,2.02,17.1,3.02,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,McLaren F1 Team MCL34,115.7,314,2.02,16.8,3.04,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,SPScore Racing Point F1 Team RP19,115.6,311,2.06,17.4,3.02,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Rokit Williams Racing FW42,115.6,309,2.07,17.7,3.01,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Renault DP World F1 Team R.S. 20,115.8,312,2.07,16.5,3.03,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Aston Martin Red Bull Racing RB16,115.9,311,2.06,16.5,3.05,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Scuderia AlphaTauri Honda AT01,115.6,312,2.08,17.4,3.02,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Scuderia Ferrari SF1000,115.8,311,2.06,16.5,3.04,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Mercedes-AMG Petronas Formula One Team W11 EQ Performance,116.0,309,2.03,16.2,3.05,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Haas F1 Team VF-20,115.6,312,2.07,17.4,3.01,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Alfa Romeo Racing Orlen C39,115.6,315,2.10,17.7,3.01,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,McLaren F1 Team MCL35,115.8,312,2.06,16.5,3.04,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,BWT Racing Point F1 Team RP20,115.8,311,2.05,16.5,3.04,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Williams Racing FW43,115.6,314,2.10,17.4,3.01,R,MR,2,2500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,R3 ESports Challenger,110.3,306,2.15,18.3,3.00,R,MR,1,2000000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Alpine F1 Team A521,115.7,312,2.07,16.5,3.02,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Red Bull Racing Honda RB16B,115.9,312,2.05,16.5,3.04,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Scuderia AlphaTauri Honda AT02,115.7,312,2.05,16.8,3.02,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Scuderia Ferrari SF21,115.7,311,2.06,16.8,3.03,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Mercedes-AMG Petronas Formula One Team W12,115.9,311,2.03,16.2,3.04,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Uralkali Haas F1 Team VF-21,115.5,309,2.10,17.1,3.00,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Alfa Romeo Racing Orlen C41,115.5,314,2.06,17.1,3.00,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,McLaren F1 Team MCL35M,115.7,312,2.06,16.5,3.03,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Aston Martin Cognizant Formula One Team AMR21,115.6,312,2.05,16.5,3.01,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,Williams Racing FW43B,115.5,314,2.09,17.1,3.00,R,MR,2,2500000 M$,180,0,Yes,No,No,Yes,No,No
Formula 1,BWT Alpine F1 Team A522,115.7,312,2.07,16.5,2.92,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Oracle Red Bull Racing RB18,115.9,314,2.04,16.5,2.93,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Scuderia AlphaTauri AT03,115.7,312,2.05,16.8,2.92,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Scuderia Ferrari F1-75,115.9,311,2.04,16.2,2.94,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Mercedes-AMG Petronas Formula One Team W13,115.9,311,2.03,16.5,2.94,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Haas F1 Team VF-22,115.5,309,2.10,17.1,2.90,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Alfa Romeo Racing Orlen C42,115.5,314,2.05,16.8,2.91,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,McLaren F1 Team MCL36,115.7,312,2.05,16.5,2.93,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Aston Martin Aramco Cognizant Formula One Team AMR22,115.6,312,2.05,16.5,2.91,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,Williams Racing FW44,115.5,314,2.09,17.1,2.90,R,MR,2,2500000 M$,180,0,Yes,No,No,No,Yes,No
Formula 1,BWT Alpine F1 Team A523,115.7,314,2.06,16.2,2.93,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,Oracle Red Bull Racing RB19,115.9,317,2.02,16.2,2.94,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,Scuderia AlphaTauri AT04,115.7,314,2.04,16.5,2.93,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,Scuderia Ferrari SF-23,115.9,311,2.04,15.8,2.95,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,Mercedes-AMG Petronas Formula One Team W14,115.9,312,2.03,16.2,2.96,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,MoneyGram Haas F1 Team VF-23,115.5,312,2.08,16.5,2.91,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,Alfa Romeo Racing Stake C43,115.5,315,2.04,16.5,2.92,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,McLaren F1 Team MCL60,115.7,314,2.05,16.2,2.94,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,Aston Martin Cognizant Formula One Team AMR23,115.8,314,2.01,16.2,2.94,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,Williams Racing FW45,115.5,315,2.08,16.8,2.91,R,MR,2,1700000 M$,180,0,Yes,No,No,No,No,Yes
Formula 1,BWT Alpine F1 Team A524,115.6,315,2.05,16.2,2.94,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Oracle Red Bull Racing RB20,115.9,320,2.00,15.5,2.95,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Visa Cash App RB Formula One Team VCARB 01,115.7,314,2.02,16.2,2.93,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Scuderia Ferrari SF-24,115.8,317,2.02,15.8,2.95,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Mercedes-AMG Petronas Formula One Team W15,115.8,317,2.04,16.5,2.96,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,MoneyGram Haas F1 Team VF-24,115.5,314,2.04,16.5,2.93,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Kick Sauber F1 Team C44,115.5,314,2.04,16.5,2.92,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,McLaren F1 Team MCL38,115.8,319,2.04,15.5,2.95,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Aston Martin Aramco Cognizant Formula One Team AMR24,115.7,315,2.00,15.8,2.94,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Williams Racing FW46,115.5,315,2.05,16.5,2.92,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Valente,115.7,312,2.02,16.2,2.93,R,MR,1,2000000 M$,180,0,Yes,No,No,No,No,No
Formula E,Gen3 Show Car,57.0,306,3.00,28.3,1.28,R,MR,1,1000000 M$,180,0,Yes,No,No,No,No,No
Formula E,SRT05E (Season 7),47.8,232,3.30,28.6,1.29,R,MR(MHD),1,1000000 M$,180,0,Yes,No,No,No,No,No
Formula E,SRT05E (Season 6),46.5,229,3.40,28.6,1.29,R,MR(MHD),1,1000000 M$,180,0,Yes,No,No,No,No,No
Formula E,SRT_01E (Season 3) (ABT Schaeffler FE02),33.4,225,3.80,30.8,1.08,R,MR(MHD),1,1500000 M$,180,0,Yes,No,No,No,No,No
Formula E,SRT_01E (Season 3) (NextEV TCR Formula 002),33.4,224,3.90,29.9,1.09,R,MR(MHD),2,1500000 M$,180,0,Yes,No,No,No,No,No
Formula E,SRT_01E (Season 3) (Renault Z.E. 16),33.4,229,3.90,30.2,1.09,R,MR(MHD),1,1500000 M$,180,0,Yes,No,No,No,No,No
Formula E,SRT_01E (Season 4),33.4,227,3.90,29.3,1.07,R,MR(MHD),1,1500000 M$,180,0,Yes,No,No,No,No,No
Formula E,SRT05E (Season 5),63.9,280,2.80,28.7,1.50,R,MR(MHD),2,1800000 M$,180,0,Yes,No,No,No,No,No
Formula E,Envision Virgin Racing Audi E-Tron FE06,54.7,241,3.01,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Nio 333 FE Team Nio FE-006,54.7,237,2.98,27.7,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Mercedes-Benz EQ Formula E Team Mercedes-Benz EQ Sliver Arrow 01,54.7,240,3.00,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Geox Dragon Penske EV-4,54.7,237,2.98,27.7,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Audi Sport Abt Schaeffler Formula E Team Audi E-Tron FE06,54.7,241,3.01,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,DS Techeetah DS E-Tense FE20,54.7,241,3.01,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Tag Heuer Porsche Formula E Team Porsche 99X Electric,54.7,240,3.00,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Rokit Venturi Racing Mercedes-Benz EQ Silver Arrow 01,54.7,240,3.00,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Panasonic Jaguar Racing Jaguar I-Type 4,54.7,241,3.01,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Nissan E.Dams Nissan IM02,54.7,237,2.98,27.7,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,BMW I Andretti Motorsport BMW IFE.20,54.7,240,3.00,27.4,1.35,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Mahindra Racing Mahindra M6Electro,54.7,237,2.98,27.7,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Envision Virgin Racing Audi E-Tron FE07,55.9,240,2.96,27.1,1.37,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Nio 333 FE Team Nio 333 001,55.8,243,2.98,26.8,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Mercedes-EQ Formula E Team Mercedes-EQ Silver Arrow 02,56.0,245,2.99,26.8,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Dragon/Penske Autosport Penske EV-5,55.8,243,2.98,26.8,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Audi Sport Abt Schaeffler Formula E Team Audi E-Tron FE07,55.9,240,2.96,27.1,1.37,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,DS Techeetah DS E-Tense FE21,56.0,245,2.99,26.8,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Tag Heuer Porsche Formula E Team Porsche 99X Electric (Season 7),55.9,240,2.96,27.1,1.37,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Rokit Venturi Racing Mercedes-EQ Silver Arrow 02,55.8,243,2.98,26.8,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Jaguar Racing Jaguar I-Type 5,55.9,240,2.96,27.1,1.37,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Nissan E.Dams Nissan IM02 (Season 7),56.0,245,2.99,26.8,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,BMW I Andretti Motorsport BMW IFE.21,55.9,240,2.96,27.1,1.37,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Mahindra Racing Mahindra M7Electro,55.8,243,2.98,26.8,1.36,R,MR(MHD),1,2150000 M$,180,0,Yes,No,No,No,No,No
Formula E,Envision Racing Audi E-Tron FE07,57.2,243,2.94,26.5,1.38,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Nio 333 Formula E Team Nio 333 001,57.1,246,2.96,26.2,1.37,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Mercedes-EQ Formula E Team Mercedes-EQ Silver Arrow 02 (Season 8),57.3,248,2.97,26.2,1.37,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Dragon/Penske Autosport Penske EV-5 (Season 8),57.1,246,2.96,26.2,1.37,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,DS Techeetah E-Tense FE21,57.3,248,2.97,26.2,1.37,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Tag Heuer Porsche Formula E Team 99X Electric,57.2,243,2.94,26.5,1.38,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Rokit Venturi Racing Mercedes-EQ Silver Arrow 02 (Season 8),57.2,243,2.94,26.5,1.38,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Jaguar TCS Racing Jaguar I-Type 5,57.3,248,2.97,26.2,1.37,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Nissan E.Dams Nissan IM03,57.1,246,2.96,26.2,1.37,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Avalanche Andretti Formula E BMW IFE.21,57.2,243,2.94,26.5,1.38,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Mahindra Racing Mahindra M8Electro,57.1,246,2.96,26.2,1.37,R,MR(MHD),1,2250000 M$,180,0,Yes,No,No,Yes,No,No
Formula E,Gen3 Championship Car,57.3,322,2.80,26.2,1.34,R,MR,1,2250000 M$,180,0,Yes,No,No,No,Yes,No
Hennessey,Venom GT,80.5,435,2.70,25.9,1.68,S,MR,3,950 Gold,180,1997,Yes,Yes,No,No,No,No
Hennessey,Venom F5,84.5,502,2.52,25.9,1.69,S,MR,2,1000 Gold,180,2062,Yes,Yes,No,Yes,Yes,No
Holden,Commodore VF (2016),46.1,309,3.61,45.1,1.36,R,FR(RHD),1,600 Gold,195,1480,No,No,No,No,No,No
Holden,Commodore VF (2017),48.8,309,3.61,45.1,1.44,R,FR(RHD),1,600 Gold,180,1510,No,No,No,No,No,No
Holden,Commodore VF (2018),49.0,309,3.60,44.5,1.46,R,FR(RHD),2,600 Gold,180,1510,No,No,No,No,No,No
Honda,Integra Type-R,4.9,233,6.50,35.7,0.98,P,FF,2,120 Gold,180,832,Yes,No,No,No,Yes,No
Honda,Civic Type-R (2000),4.7,235,6.70,36.0,0.95,P,FF,4,80 Gold,180,832,Yes,Yes,No,Yes,Yes,No
Honda,S2000 GT,5.1,240,5.80,34.4,0.95,P,FR,1,160 Gold,120,1082,Yes,No,No,No,No,No
Honda,NSX-R,19.9,280,4.70,35.7,0.95,P,MR,4,200 Gold,175,1377,Yes,Yes,No,No,Yes,No
Honda,Civic Type-R (2023),20.6,272,4.90,34.3,1.02,P,FF,1,300 Gold,240,1480,Yes,No,No,No,No,No
Hyundai,Veloster Turbo,1.6,225,7.30,41.8,0.85,P,FF,2,22000 R$,5,285,Yes,No,No,No,No,No
Hyundai,i20 WRC,43.2,249,3.60,30.5,1.25,R,F4,2,500000 R$,180,1415,Yes,No,No,No,No,No
Hyundai,i20 N Rally1 Hybrid,44.1,198,2.65,30.1,1.38,R,F4,1,2250000 M$,260,0,Yes,No,No,No,No,No
Jaguar,Lightweight E-Type,3.0,241,6.40,41.1,0.97,R,FR(RHD),2,180 Gold,150,1230,Yes,No,No,No,No,No
Jaguar,XJ220,39.8,349,3.60,36.3,1.05,S,MR,4,400 Gold,180,1415,Yes,Yes,No,No,Yes,No
Jaguar,F-Type SVR,45.3,322,3.50,30.5,1.10,P,F4,4,400 Gold,225,1665,Yes,Yes,No,No,Yes,No
Jaguar,XE SV Project 8,52.8,322,3.30,28.0,1.20,P,F4,2,500 Gold,180,1730,Yes,No,No,No,Yes,No
Jaguar,C-X75,66.8,354,2.90,29.6,1.46,S,M4,3,600 Gold,270,1897,Yes,Yes,No,Yes,No,No
Jaguar,XJR-9,69.9,394,3.30,28.3,1.55,R,MR,1,800 Gold,180,1997,Yes,No,No,No,Yes,No
Jaguar,C-X75 R3 Spec,79.7,389,2.61,25.9,1.62,R,M4,1,900 Gold,180,1997,Yes,No,No,No,No,No
Koenigsegg,CCXR,66.9,402,3.10,32.0,1.45,S,MR,3,1999800 R$,275,1915,Yes,No,Yes,No,No,No
Koenigsegg,Agera,72.6,433,3.00,30.5,1.50,S,MR,2,2210500 R$,280,1952,Yes,No,Yes,No,No,No
Koenigsegg,Agera RS,82.1,447,2.60,28.3,1.60,S,MR,4,1000 Gold,180,1997,Yes,Yes,No,Yes,No,Yes
Koenigsegg,Agera R,78.3,439,2.90,29.6,1.60,S,MR,5,800 Gold,300,2062,Yes,No,Yes,Yes,No,No
Koenigsegg,One:1,81.1,439,2.50,25.3,1.75,S,MR,3,1100 Gold,180,2062,Yes,Yes,No,No,Yes,No
Koenigsegg,Regera,80.6,410,2.70,27.4,1.62,S,MR,4,1000 Gold,180,2062,Yes,Yes,No,No,Yes,No
Koenigsegg,Jesko,84.1,483,2.50,26.8,1.66,S,MR,4,1100 Gold,180,2062,Yes,Yes,No,Yes,Yes,Yes
Koenigsegg,Jesko Absolut,88.3,499,2.35,26.2,1.60,S,MR,2,1200 Gold,180,2090,Yes,Yes,No,No,No,Yes
Koenigsegg,Gemera,90.7,399,1.90,27.4,1.70,S,M4,2,1100 Gold,180,2090,Yes,Yes,No,No,No,Yes
Koenigsegg,CC850,83.9,451,2.60,25.9,1.55,S,MR,1,1100 Gold,180,2090,No,No,No,No,No,No
KTM,X-Bow R,46.6,232,3.80,32.0,1.50,S,RR,3,115 Gold,150,1247,Yes,No,Yes,No,No,No
KTM,X-Bow GT-XR,54.5,280,3.40,28.0,1.10,S,MR,1,500 Gold,240,1730,Yes,No,No,No,No,Yes
Lamborghini,Gallardo LP560-4,36.8,325,3.70,32.6,1.01,S,M4,4,168900 R$,110,1022,Yes,Yes,Yes,No,No,No
Lamborghini,Gallardo LP560 GT3,45.6,330,3.40,31.1,1.05,R,M4,2,326000 R$,155,1260,Yes,No,Yes,No,No,No
Lamborghini,Countach,20.0,298,5.20,32.3,0.98,S,MR,5,210 Gold,175,1365,Yes,Yes,No,No,No,No
Lamborghini,Huracan LP610-4,50.7,325,3.20,30.8,1.17,S,M4,6,450 Gold,90,1377,Yes,No,No,No,Yes,No
Lamborghini,Diablo SV,32.1,328,3.70,42.1,1.05,S,MR,1,400 Gold,180,1415,Yes,No,No,No,Yes,No
Lamborghini,Murcielago R-SV GT1,56.9,341,3.10,31.7,1.23,R,M4,3,592100 R$,195,1475,Yes,No,Yes,No,No,No
Lamborghini,Aventador LP700-4,50.9,349,2.90,30.5,1.06,S,M4,5,597700 R$,195,1480,Yes,No,Yes,No,No,No
Lamborghini,Huracan Super Trofeo Evo,52.4,275,3.00,27.7,1.20,R,MR,2,460 Gold,180,1480,Yes,No,No,Yes,No,No
Lamborghini,Miura,10.6,299,5.90,34.1,0.92,S,MR,2,490 Gold,195,1495,Yes,No,No,No,No,No
Lamborghini,Asterion LP910-4,63.4,320,3.00,28.3,1.44,S,M4,5,650 Gold,225,1647,Yes,No,No,Yes,No,No
Lamborghini,Huracan R3 Spec,64.4,362,2.90,27.4,1.31,R,M4,2,550 Gold,180,1812,Yes,No,No,Yes,No,Yes
Lamborghini,Aventador SVJ,62.9,349,2.50,28.7,1.20,S,M4,5,750 Gold,180,1812,Yes,Yes,No,Yes,No,No
Lamborghini,Huracan Performante,64.4,325,2.90,27.7,1.41,S,M4,3,560 Gold,180,1835,Yes,Yes,No,Yes,No,No
Lamborghini,Huracan STO,65.1,311,2.90,29.0,1.50,S,MR,3,700 Gold,180,1877,Yes,No,No,Yes,No,No
Lamborghini,Reventon,43.4,340,3.29,33.5,1.01,S,M4,1,750 Gold,180,1877,Yes,Yes,No,No,Yes,No
Lamborghini,Sian FKP 37,67.5,354,2.70,29.0,1.40,S,M4,3,750 Gold,180,1915,Yes,Yes,No,Yes,Yes,No
Lamborghini,Countach LPI 800-4,67.6,356,2.70,27.4,1.36,S,M4,2,750 Gold,180,1915,Yes,Yes,No,Yes,No,No
Lamborghini,Essenza SCV12,69.3,298,2.70,28.3,1.60,R,MR,3,750 Gold,180,1942,Yes,Yes,No,Yes,No,No
Lamborghini,Huracan GT3,65.2,280,3.03,29.3,1.63,R,MR,1,750 Gold,180,1990,Yes,No,No,No,No,No
Lamborghini,Sesto Elemento,68.9,338,2.50,27.4,1.38,S,M4,4,850 Gold,150,1997,Yes,Yes,No,No,No,Yes
Lamborghini,Centenario LP770-4,66.3,349,2.70,29.9,1.40,S,M4,3,850 Gold,180,1997,Yes,Yes,No,Yes,No,No
Lamborghini,Veneno,70.3,354,2.80,29.9,1.42,S,M4,4,900 Gold,315,2157,Yes,Yes,Yes,Yes,No,No
Lancia,LC2,82.5,385,2.80,28.3,1.80,R,MR,1,900 Gold,180,1997,Yes,No,No,Yes,No,No
Lexus,IS 350 F Sport (2014),5.9,230,5.60,32.6,0.91,P,FR,2,44000 R$,25,535,Yes,No,No,No,No,No
Lexus,IS F (2013),28.4,301,4.40,31.4,0.98,P,FR,2,62645 R$,45,662,Yes,No,Yes,No,No,No
Lexus,LFA,46.7,325,3.60,28.7,1.05,S,FR,4,130 Gold,170,1335,Yes,No,Yes,No,No,No
Lotus,Exige 360 Cup,42.5,274,3.60,29.9,1.15,R,MR,3,350 Gold,180,1415,Yes,No,No,No,No,No
Lotus,3-Eleven,57.3,290,2.90,28.3,1.30,R,MR,1,400 Gold,180,1415,Yes,No,No,No,No,No
Lotus,Type 125,96.2,330,2.65,17.7,2.85,R,MR(MHD),2,880 Gold,150,1997,Yes,Yes,No,No,No,No
Lotus,Emira,51.3,283,4.40,31.7,1.70,P,MR,2,600 Gold,180,1812,Yes,Yes,No,No,Yes,No
Lotus,Evija,83.8,340,2.30,29.3,1.93,S,M4,3,1100 Gold,180,2062,Yes,Yes,No,Yes,Yes,Yes
Lotus,Evija X,88.5,352,1.89,27.0,1.98,S,M4,2,1100 Gold,180,2062,Yes,Yes,No,No,No,No
Maserati,Granturismo MC Stradale,33.0,303,4.30,32.0,1.07,S,MR,3,390000 R$,165,1325,Yes,No,Yes,No,No,No
Maserati,Granturismo MC Stradale (Limited),41.5,319,3.80,30.2,1.08,S,MR,1,360 Gold,185,1425,Yes,No,No,No,No,No
Mazda,RX-3,0.1,185,7.70,42.1,0.80,P,FR,2,50 Gold,30,582,Yes,No,No,Yes,No,No
Mazda,MX-5 (NA),0.1,195,8.50,43.6,0.86,P,FR,2,60 Gold,40,617,Yes,Yes,No,No,Yes,No
Mazda,RX-7 Spirit R (FD),17.2,256,4.80,34.1,0.92,P,FR,4,175 Gold,75,832,Yes,Yes,No,No,Yes,No
Mazda,MX-5 (ND),11.8,219,5.70,32.0,1.08,P,FR,1,240 Gold,165,1332,Yes,No,No,No,Yes,No
Mazda,Furai,60.6,290,3.15,26.5,1.43,S,MR,2,700 Gold,180,1915,Yes,Yes,No,No,Yes,No
Mazda,787B,68.9,351,3.34,29.9,1.68,R,MR,2,800 Gold,180,1997,Yes,No,No,No,Yes,No
Mazda,RT24-P,78.5,322,2.77,25.6,1.75,R,MR,1,850 Gold,180,1997,Yes,No,No,No,No,No
McLaren,MP4-12C,48.3,330,2.90,30.5,1.06,S,MR,5,65 Gold,140,1192,Yes,No,Yes,No,No,No
McLaren,12C Spider,50.7,328,3.10,30.8,1.13,S,MR,3,300 Gold,90,1535,Yes,No,No,No,Yes,Yes
McLaren,570GT,46.7,328,3.30,31.1,1.08,S,MR,2,400 Gold,210,1560,Yes,No,No,No,No,No
McLaren,F1 GTR,51.1,362,3.90,30.2,1.30,R,MR(MHD),3,630 Gold,180,1665,Yes,No,Yes,No,No,No
McLaren,F1,52.7,377,3.20,33.8,1.20,S,MR(MHD),4,1250000 R$,240,1745,Yes,No,Yes,No,No,No
McLaren,720S GT3,65.4,283,3.04,29.6,1.62,R,RR,2,1300000 M$,180,0,Yes,Yes,No,Yes,No,No
McLaren,P1,67.8,351,2.80,29.0,1.45,S,MR,4,1300000 R$,245,1760,Yes,Yes,Yes,No,No,No
McLaren,675LT,54.3,330,2.80,29.0,1.09,S,MR,3,575 Gold,265,1867,Yes,No,No,No,No,No
McLaren,600LT,54.8,332,2.90,29.6,1.15,S,MR,1,600 Gold,180,1870,Yes,No,No,No,No,No
McLaren,720S Coupe,61.5,341,2.80,29.6,1.30,S,MR,5,650 Gold,180,1877,Yes,Yes,Yes,No,No,No
McLaren,765LT,61.5,330,2.70,28.5,1.40,S,MR,5,650 Gold,180,1877,Yes,Yes,No,Yes,Yes,Yes
McLaren,Artura,59.4,330,2.60,31.6,1.25,S,MR,2,650 Gold,180,1877,Yes,Yes,No,No,No,Yes
McLaren,P1 GTR,78.8,362,2.40,25.9,1.55,R,MR,4,900 Gold,120,1997,Yes,Yes,Yes,No,No,No
McLaren,650S GT3,60.8,333,2.90,28.0,1.29,R,MR,3,2500000 R$,120,1997,Yes,Yes,No,No,No,No
McLaren,Senna,66.2,335,2.90,28.0,1.45,S,MR,3,850 Gold,180,1997,Yes,Yes,No,Yes,Yes,No
McLaren,Speedtail (2020),78.2,402,2.30,29.9,1.20,S,MR,2,900 Gold,265,1997,Yes,Yes,No,No,No,No
McLaren,MP4/4,93.9,333,2.90,17.4,2.25,R,MR,3,950 Gold,180,2037,Yes,Yes,No,No,No,No
McLaren,Senna GTR,79.5,362,2.80,25.9,1.70,S,MR,2,1000 Gold,180,2037,Yes,Yes,No,Yes,Yes,Yes
